ID,elev,lon,lat,mean_tavg,total_prec,temp_bin_label,precip_bin_label,LC1,LC1_perc,LC2,LC2_perc,LC3,LC3_perc,LC1_cci,LC1_perc_cci,LC2_cci,LC2_perc_cci,LC3_cci,LC3_perc_cci,TreeCat
ID0113,268,27.337499999999995,53.90416666666667,5.3791666,63.6,4 to 6,60 to 80,60,27.9,50,21.4,30,19.7,10,55.6,11,22.2,190,22.2,noTree
ID0114,177,28.462499999999995,54.24583333333334,5.6041665,67.0,4 to 6,60 to 80,60,33.3,10,32.7,50,16.0,70,33.3,10,22.2,190,22.2,noTree
ID0115,212,29.85416666666666,56.4125,4.7875,66.4,4 to 6,60 to 80,60,57.0,10,23.6,30,17.1,60,55.6,10,33.3,110,11.1,noTree
ID0116,81,25.8875,56.62083333333334,5.7166667,69.2,4 to 6,60 to 80,60,39.6,30,27.2,10,24.2,11,44.4,10,33.3,60,22.2,noTree
ID0117,95,27.77083333333333,56.79583333333333,5.4166665,60.5,4 to 6,60 to 80,60,44.4,30,35.7,40,14.4,10,77.8,30,22.2,0,0.0,noTree
ID0118,71,28.52083333333333,57.5625,5.1291666,65.4,4 to 6,60 to 80,60,40.9,40,25.2,10,18.0,61,66.7,30,22.2,40,11.1,noTree
ID0119,52,29.5625,57.74583333333334,5.2125,68.6,4 to 6,60 to 80,60,38.0,30,29.6,10,13.9,10,55.6,11,44.4,0,0.0,noTree
ID0120,149,28.8625,58.145833333333336,4.7208333,72.9,4 to 6,60 to 80,60,32.5,30,31.5,10,21.0,10,100.0,0,0.0,0,0.0,noTree
ID0121,78,26.02916666666666,58.72083333333333,5.325,65.7,4 to 6,60 to 80,60,45.2,30,23.2,50,22.8,11,33.3,10,22.2,150,22.2,noTree
ID0122,64,28.129166666666663,59.07083333333333,4.9666667,65.4,4 to 6,60 to 80,60,55.6,10,30.4,50,10.9,200,55.6,90,33.3,150,11.1,noTree
ID0123,72,27.370833333333326,59.19583333333333,4.6416664,64.0,4 to 6,60 to 80,60,63.8,10,18.6,30,10.0,60,44.4,11,22.2,200,22.2,noTree
ID0124,53,28.787499999999994,59.3375,4.75,69.2,4 to 6,60 to 80,60,50.4,10,35.5,30,9.2,60,77.8,40,22.2,0,0.0,noTree
ID0125,44,26.47916666666666,59.44583333333333,5.358333,60.7,4 to 6,60 to 80,60,45.9,30,32.1,10,11.1,150,77.8,200,22.2,0,0.0,noTree
ID0126,24,28.44583333333333,59.7375,4.6124997,66.2,4 to 6,60 to 80,60,55.4,30,18.6,40,12.6,70,44.4,200,33.3,150,22.2,noTree
ID0127,57,29.10416666666666,60.454166666666666,4.2791667,67.5,4 to 6,60 to 80,60,35.8,50,26.0,10,25.3,200,100.0,0,0.0,0,0.0,noTree
ID0128,62,26.8125,60.87916666666667,4.05,65.1,4 to 6,60 to 80,60,37.2,10,33.0,30,16.4,10,33.3,11,22.2,100,22.2,noTree
ID0129,2781,23.58750000000001,42.179166666666674,-1.5625,75.7,-2 to 0,60 to 80,60,50.6,30,45.8,80,2.6,150,55.6,201,44.4,0,0.0,noTree
ID0130,488,24.220833333333346,42.34583333333334,10.908334,57.2,10 to 12,40 to 60,60,51.6,30,43.0,10,5.0,190,33.3,12,33.3,130,22.2,noTree
ID0131,704,23.020833333333343,42.3625,9.633333,58.6,8 to 10,40 to 60,60,54.6,30,23.2,40,21.2,30,44.4,100,33.3,10,22.2,noTree
ID0132,534,23.48750000000001,42.72083333333334,10.054167,61.2,10 to 12,60 to 80,60,29.3,30,21.8,40,19.3,100,66.7,210,22.2,60,11.1,noTree
